"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U3,U4,U5,U6,U7";"AMPLIFIER-PAM8403";6;"AMPLIFIER-PAM8403";;;
2;"U1";"TallDogTeensy4.0Breakout";1;"Teensy4.0-Tall-Dog-Breakout";;;
3;"C1,C2,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"100nF";;;
4;"IC1,IC2,IC3";"SOP65P640X120-20N";3;"MCP4451-103E_ST";;;
5;"J1";"45A-VERT-PAIR";1;"PowerPole";;;
6;"J2,J3";"PinSocket_2x06_P2.54mm_Vertical";2;"Conn_01x12_Female";;;
7;"J4,J5,J6,J7,J8,J9";"PinSocket_1x03_P2.54mm_Vertical";6;"Conn_01x03_Female";;;
8;"R1,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2200";;;
9;"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";12;"51000";;;
